1 	 Massachusetts Institute of Technology (MIT) 	 2.00
2 	 Stanford University 	 2.00
3 	 Carnegie Mellon University 	 4.33
4 	 University of Oxford 	 5.33
5 	 ETH Zurich 	 5.67
6 	 Harvard University 	 7.00
7 	 Princeton University 	 9.67
8 	 Tsinghua University 	 11.67
9 	 University of California, Los Angeles (UCLA) 	 11.67
10 	 University of Cambridge 	 12.67
11 	 National University of Singapore 	 13.00
12 	 Nanyang Technological University (NTU) 	 14.00
13 	 University of Toronto 	 15.00
14 	 Cornell University 	 15.67
15 	 University College London (UCL) 	 18.33
16 	 Ecole Polytechnique Fédérale de Lausanne (EPFL) 	 20.33
17 	 Georgia Institute of Technology 	 20.33
18 	 Imperial College London 	 20.33
19 	 Columbia University 	 20.67
20 	 University of Texas at Austin 	 22.33
21 	 University of Edinburgh 	 22.67
22 	 University of Washington 	 23.33
23 	 University of Illinois at Urbana-Champaign 	 28.67
24 	 Peking University 	 29.00
25 	 Chinese University of Hong Kong (CUHK) 	 29.67
26 	 New York University (NYU) 	 29.67
27 	 University of Michigan-Ann Arbor 	 30.00
28 	 University of Southern California 	 32.00
29 	 Shanghai Jiao Tong University 	 35.33
30 	 University of California, Berkeley 	 35.67
31 	 University of Waterloo 	 36.00
32 	 University of British Columbia 	 37.67
33 	 University of Maryland, College Park 	 45.67
34 	 California Institute of Technology (Caltech) 	 46.33
35 	 Hong Kong University of Science and Technology 	 47.67
36 	 Technical University of Munich 	 51.33
37 	 University of Pennsylvania 	 55.33
38 	 University of Tokyo 	 56.67
39 	 University of California, San Diego 	 57.00
40 	 Zhejiang University 	 57.33
41 	 Université Paris Sciences et Lettres (PSL) 	 57.67
42 	 Yale University 	 58.00
43 	 University of Hong Kong 	 58.67
44 	 Korea Advanced Institute of Science and Technology (KAIST) 	 60.00
45 	 University of Chicago 	 62.00
46 	 Australian National University 	 62.33
47 	 Seoul National University 	 65.00
48 	 University of North Carolina at Chapel Hill 	 72.33
49 	 University of Copenhagen 	 75.00
50 	 University of Technology Sydney 	 76.33
51 	 Johns Hopkins University 	 76.67
52 	 University of Wisconsin-Madison 	 76.67
53 	 University of Montreal 	 77.00
54 	 University of Melbourne 	 77.33
55 	 Weizmann Institute of Science 	 77.33
56 	 University of Science and Technology of China 	 78.00
57 	 Harbin Institute of Technology 	 78.33
58 	 Huazhong University of Science and Technology 	 79.67
59 	 Politecnico di Milano 	 80.00
60 	 City University of Hong Kong 	 80.33
61 	 University of Sydney 	 80.67
62 	 KTH Royal Institute of Technology 	 81.00
63 	 University of Adelaide 	 81.00
64 	 University of Amsterdam 	 81.67
65 	 RWTH Aachen University 	 82.00
66 	 Aalto University 	 82.33
67 	 Delft University of Technology 	 82.33
68 	 University of Electronic Science and Technology of China 	 82.67
69 	 University of Oslo 	 83.00
70 	 Hong Kong Polytechnic University 	 83.33
71 	 Karlsruhe Institute of Technology (KIT) 	 83.33
